#  Table S1: These are the weighted harmonic mean of the GTEx VG estimates from different tissues. These estimates are not recommended for use in ANEVA-DOT.	
#GeneID	Avg_VG
ENSG00000000457	0.00201786
ENSG00000000460	0.000626767
ENSG00000000938	0.00349023
ENSG00000000971	0.00739693
ENSG00000001036	0.00165472
ENSG00000001460	0.0018398
ENSG00000001461	0.00182479
ENSG00000001561	0.00552225
ENSG00000001617	0.00224243
ENSG00000001626	0.00434393
ENSG00000001629	0.00204027
ENSG00000001630	0.00262501
ENSG00000001631	0.00173563
ENSG00000002016	0.00921896
ENSG00000002330	0.000727728
ENSG00000002549	0.00347514
ENSG00000002587	0.00650354
ENSG00000002726	0.00667822
ENSG00000002745	0.0589592
ENSG00000002746	0.00137706
ENSG00000002822	0.00232613
ENSG00000002834	0.00111423
ENSG00000002919	0.00428346
ENSG00000002933	0.0216775
ENSG00000003056	0.0027351
ENSG00000003137	0.00451224
ENSG00000003147	0.00119873
ENSG00000003249	0.0116244
ENSG00000003393	0.00103497
ENSG00000003400	0.00218578
ENSG00000003402	0.00233301
ENSG00000003436	0.00469529
ENSG00000003756	0.00100664
ENSG00000003987	0.00105976
ENSG00000003989	0.00451567
ENSG00000004139	0.00225993
ENSG00000004142	0.000942957
ENSG00000004399	0.00184237
ENSG00000004455	0.00179419
ENSG00000004468	0.00361466
ENSG00000004478	0.000338418
ENSG00000004487	0.00192279
ENSG00000004534	0.00443446
ENSG00000004660	0.00182001
ENSG00000004700	0.00534075
ENSG00000004766	0.00168677
ENSG00000004776	0.0039044
ENSG00000004777	0.00188013
ENSG00000004779	0.000517148
ENSG00000004799	0.00911653
ENSG00000004809	0.00287896
ENSG00000004864	0.000666763
ENSG00000004897	0.00135869
ENSG00000004939	0.00601982
ENSG00000004975	0.00125125
ENSG00000005001	0.00324558
ENSG00000005007	0.000894256
ENSG00000005020	0.00493756
ENSG00000005059	0.00243902
ENSG00000005075	0.00160715
ENSG00000005100	0.00100427
ENSG00000005102	0.0145361
ENSG00000005108	0.00170806
ENSG00000005156	0.00754286
ENSG00000005187	0.00928161
ENSG00000005189	0.00290591
ENSG00000005194	0.00133243
ENSG00000005206	0.00109192
ENSG00000005238	0.00182806
ENSG00000005243	0.00320241
ENSG00000005249	0.00131474
ENSG00000005339	0.00185716
ENSG00000005379	0.00102786
ENSG00000005381	0.00942655
ENSG00000005421	0.0497979
ENSG00000005436	0.00338108
ENSG00000005469	0.00320188
ENSG00000005471	0.000858621
ENSG00000005483	0.00162228
ENSG00000005486	0.00172507
ENSG00000005513	0.00185179
ENSG00000005700	0.00198297
ENSG00000005801	0.0159727
ENSG00000005810	0.000961151
ENSG00000005844	0.00235494
ENSG00000005882	0.0020778
ENSG00000005884	0.00128532
ENSG00000005961	0.00173386
ENSG00000005981	0.00251465
ENSG00000006007	0.00129614
ENSG00000006015	0.00384826
ENSG00000006016	0.0198162
ENSG00000006025	0.00122025
ENSG00000006042	0.00361846
ENSG00000006047	0.0018084
ENSG00000006062	0.00125869
ENSG00000006071	0.0079184
ENSG00000006118	0.00118547
ENSG00000006125	0.000965988
ENSG00000006128	0.00365473
ENSG00000006194	0.00213243
ENSG00000006210	0.00119915
ENSG00000006282	0.0105402
ENSG00000006283	0.000698088
ENSG00000006327	0.00179491
ENSG00000006377	0.00912944
ENSG00000006432	0.00209912
ENSG00000006451	0.00150752
ENSG00000006453	0.00135846
ENSG00000006459	0.00190949
ENSG00000006468	0.0011556
ENSG00000006534	0.00636953
ENSG00000006555	0.00139924
ENSG00000006576	0.00138575
ENSG00000006606	0.642208
ENSG00000006607	0.00202048
ENSG00000006611	0.00161907
ENSG00000006625	0.00124741
ENSG00000006634	0.0088115
ENSG00000006638	0.00329869
ENSG00000006652	0.00755118
ENSG00000006695	0.0021076
ENSG00000006704	0.00170615
ENSG00000006715	0.00218649
ENSG00000006740	0.00114746
ENSG00000006744	0.00281263
ENSG00000006747	0.0114835
ENSG00000006831	0.00102919
ENSG00000007038	0.00884696
ENSG00000007047	0.00110724
ENSG00000007062	0.00233509
ENSG00000007080	0.00145059
ENSG00000007129	0.0304636
ENSG00000007168	0.0011535
ENSG00000007174	0.00661082
ENSG00000007202	0.000924883
ENSG00000007216	0.00176594
ENSG00000007237	0.00201463
ENSG00000007264	0.011527
ENSG00000007306	0.047258
ENSG00000007312	0.00140289
ENSG00000007314	0.00260144
ENSG00000007341	0.00529945
ENSG00000007372	0.000863974
ENSG00000007376	0.0042955
ENSG00000007384	0.00158777
ENSG00000007392	0.00117457
ENSG00000007402	0.000710218
ENSG00000007516	0.00630402
ENSG00000007541	0.00261428
ENSG00000007545	0.00134815
ENSG00000007866	0.00119874
ENSG00000007908	0.0057785
ENSG00000007923	0.0010742
ENSG00000007933	0.0169016
ENSG00000007944	0.00126447
ENSG00000007968	0.00210602
ENSG00000008018	0.000946611
ENSG00000008083	0.00135913
ENSG00000008118	0.000879745
ENSG00000008128	0.0641583
ENSG00000008130	0.00197065
ENSG00000008196	0.00233576
ENSG00000008226	0.00132479
ENSG00000008256	0.0014673
ENSG00000008277	0.00091279
ENSG00000008282	0.00288409
ENSG00000008283	0.00209631
ENSG00000008294	0.00137973
ENSG00000008300	0.000246196
ENSG00000008311	0.00568043
ENSG00000008323	0.00182754
ENSG00000008324	0.00187974
ENSG00000008382	0.00136424
ENSG00000008394	0.00443756
ENSG00000008405	0.00179255
ENSG00000008438	0.0144059
ENSG00000008441	0.000949213
ENSG00000008513	0.00309785
ENSG00000008516	0.0262201
ENSG00000008517	0.0339206
ENSG00000008710	0.00103448
ENSG00000008735	0.000632328
ENSG00000008838	0.00215196
ENSG00000008853	0.00211704
ENSG00000008869	0.00130422
ENSG00000008952	0.00250308
ENSG00000008988	0.00265279
ENSG00000009307	0.000647155
ENSG00000009335	0.00108448
ENSG00000009413	0.0018847
ENSG00000009724	0.0125267
ENSG00000009765	0.00763392
ENSG00000009790	0.0025827
ENSG00000009830	0.00143702
ENSG00000009844	0.00131433
ENSG00000009950	0.00199369
ENSG00000009954	0.00204989
ENSG00000010017	0.00241862
ENSG00000010030	0.0154314
ENSG00000010072	0.000399854
ENSG00000010165	0.00193738
ENSG00000010219	0.00143076
ENSG00000010244	0.00115508
ENSG00000010256	0.000466639
ENSG00000010270	0.00136694
ENSG00000010278	0.00165278
ENSG00000010282	0.0124384
ENSG00000010292	0.00159929
ENSG00000010295	0.00118675
ENSG00000010310	0.0023044
ENSG00000010318	0.000407374
ENSG00000010319	0.00127855
ENSG00000010322	0.000873664
ENSG00000010327	0.00214124
ENSG00000010361	0.00127981
ENSG00000010379	0.0395591
ENSG00000010610	0.00329531
ENSG00000010626	0.00402768
ENSG00000010704	0.00375401
ENSG00000010803	0.00142789
ENSG00000010810	0.00169439
ENSG00000010818	0.00203478
ENSG00000010932	0.0539251
ENSG00000011007	0.00106863
ENSG00000011021	0.00110574
ENSG00000011028	0.00265116
ENSG00000011083	0.00427664
ENSG00000011105	0.003016
ENSG00000011114	0.00171748
ENSG00000011132	0.00131563
ENSG00000011143	0.00214745
ENSG00000011198	0.00324055
ENSG00000011258	0.00226816
ENSG00000011260	0.00118858
ENSG00000011275	0.000951441
ENSG00000011295	0.00153172
ENSG00000011304	0.000757928
ENSG00000011347	0.00659187
ENSG00000011376	0.00470199
ENSG00000011405	0.00252116
ENSG00000011422	0.00184943
ENSG00000011426	0.00177534
ENSG00000011451	0.000568384
