gene	pLI
MED13	1.0000e+00
NIPBL	1.0000e+00
SMC3	1.0000e+00
CNOT1	1.0000e+00
RLF	1.0000e+00
PCF11	1.0000e+00
FNDC3B	1.0000e+00
TAF1	1.0000e+00
RSF1	1.0000e+00
NCKAP1	1.0000e+00
KDM2A	1.0000e+00
BRD4	1.0000e+00
HELZ	1.0000e+00
FBN1	1.0000e+00
XPO1	1.0000e+00
PRR12	1.0000e+00
USP9X	1.0000e+00
POLA1	1.0000e+00
SYNGAP1	1.0000e+00
PRKDC	1.0000e+00
HDAC4	1.0000e+00
SMG1	1.0000e+00
ZC3H4	1.0000e+00
COL5A1	1.0000e+00
SMARCA4	1.0000e+00
TNPO1	1.0000e+00
AGO1	1.0000e+00
ARHGAP35	1.0000e+00
LRP1	1.0000e+00
TOP1	1.0000e+00
TRIP12	1.0000e+00
KMT2E	1.0000e+00
HCFC1	1.0000e+00
UBTF	1.0000e+00
HUWE1	1.0000e+00
KDM3B	1.0000e+00
TRRAP	1.0000e+00
GRIN2B	1.0000e+00
USP7	1.0000e+00
ATP1A3	1.0000e+00
ASH1L	1.0000e+00
ANKRD17	1.0000e+00
SMC1A	1.0000e+00
NPEPPS	1.0000e+00
CHERP	1.0000e+00
MED13L	1.0000e+00
RPRD2	1.0000e+00
KMT2A	1.0000e+00
CREBBP	1.0000e+00
SF3B1	1.0000e+00
EIF3B	1.0000e+00
PPFIA1	1.0000e+00
ZSWIM6	1.0000e+00
PRPF3	1.0000e+00
KAT6A	1.0000e+00
KMT2B	1.0000e+00
SIN3A	1.0000e+00
CHD2	1.0000e+00
ARID1A	1.0000e+00
GLTSCR1L	1.0000e+00
SCN1A	1.0000e+00
MED12	1.0000e+00
TJP1	1.0000e+00
SPEN	1.0000e+00
WDFY3	1.0000e+00
HDAC6	1.0000e+00
EHMT1	1.0000e+00
JMJD1C	1.0000e+00
MAP3K12	1.0000e+00
GGNBP2	1.0000e+00
CASK	1.0000e+00
TLE3	1.0000e+00
CHD6	1.0000e+00
UBR5	1.0000e+00
EIF4G1	1.0000e+00
NBEA	1.0000e+00
SMARCA5	1.0000e+00
TSC2	1.0000e+00
SUPT5H	1.0000e+00
GREB1L	1.0000e+00
PTCH1	1.0000e+00
CHD7	1.0000e+00
RAD54L2	1.0000e+00
CNOT3	1.0000e+00
AHDC1	1.0000e+00
U2SURP	1.0000e+00
RBM25	1.0000e+00
GIGYF2	1.0000e+00
MBTD1	1.0000e+00
DCAF5	1.0000e+00
SUV420H1	1.0000e+00
RABGAP1	1.0000e+00
KHSRP	1.0000e+00
TM9SF2	1.0000e+00
MATR3	1.0000e+00
PHF21A	1.0000e+00
NAV1	1.0000e+00
HIVEP2	1.0000e+00
OGT	1.0000e+00
RBBP6	1.0000e+00
GTPBP4	1.0000e+00
MYBL1	1.0000e+00
TEX11	1.0000e+00
DYNC1H1	1.0000e+00
SBNO1	1.0000e+00
THOC2	1.0000e+00
PRKCB	1.0000e+00
INO80	1.0000e+00
TAF4	1.0000e+00
FLNA	1.0000e+00
TRIM28	1.0000e+00
CHD8	1.0000e+00
RBM33	1.0000e+00
SNRNP200	1.0000e+00
XPO6	1.0000e+00
SMARCAD1	1.0000e+00
FRMPD4	1.0000e+00
MACF1	1.0000e+00
WAC	1.0000e+00
BRWD3	1.0000e+00
C17orf104	1.0000e+00
ATP2B1	1.0000e+00
EIF4G2	1.0000e+00
ZNF462	1.0000e+00
WDR26	1.0000e+00
CUL4B	1.0000e+00
TRIM33	1.0000e+00
STXBP1	1.0000e+00
TOPBP1	1.0000e+00
NF2	1.0000e+00
TET3	1.0000e+00
MN1	9.9999e-01
SUPT6H	1.0000e+00
RP11-762I7.5	1.0000e+00
NHS	9.9999e-01
RPS6KA3	9.9999e-01
MYT1L	1.0000e+00
UBP1	9.9999e-01
PLCL2	9.9999e-01
SPTBN1	1.0000e+00
MYH9	1.0000e+00
ZDHHC5	9.9999e-01
LUC7L3	9.9999e-01
COPB2	1.0000e+00
DNAJC14	9.9999e-01
RNF17	1.0000e+00
ANK3	1.0000e+00
F8	1.0000e+00
TM9SF3	9.9999e-01
DLG3	9.9999e-01
MGA	1.0000e+00
ANKRD52	1.0000e+00
STAG2	1.0000e+00
SATB2	9.9999e-01
USP34	1.0000e+00
MAP3K2	9.9999e-01
PREX1	1.0000e+00
MED14	1.0000e+00
CYFIP2	1.0000e+00
ZNF407	1.0000e+00
KPNB1	1.0000e+00
ETV5	9.9999e-01
CUL2	1.0000e+00
HNRNPM	9.9999e-01
PIAS1	9.9999e-01
DAAM2	1.0000e+00
EFTUD2	1.0000e+00
YTHDC1	1.0000e+00
NCBP1	1.0000e+00
TCF20	1.0000e+00
DLL1	9.9999e-01
UBR4	1.0000e+00
STAT3	1.0000e+00
IGF2BP3	9.9999e-01
NSD1	1.0000e+00
SRCAP	1.0000e+00
ZNF777	9.9998e-01
HNRNPK	9.9998e-01
SCAF8	1.0000e+00
ARID2	1.0000e+00
CCT3	9.9998e-01
COL5A2	1.0000e+00
PHC3	1.0000e+00
GATAD2B	9.9998e-01
FBXO11	1.0000e+00
NOTCH1	1.0000e+00
COL3A1	1.0000e+00
PPP3CB	9.9998e-01
ILF3	1.0000e+00
PLEKHA5	1.0000e+00
ZNF521	1.0000e+00
TAB2	9.9998e-01
CTNND2	1.0000e+00
DDX5	9.9998e-01
ACTN4	1.0000e+00
UPF2	1.0000e+00
CARM1	9.9998e-01
PAXIP1	1.0000e+00
BPTF	1.0000e+00
EP300	1.0000e+00
FBXL19	9.9997e-01
CREBRF	9.9997e-01
HDAC2	9.9997e-01
SP1	9.9997e-01
MAPK8IP2	9.9997e-01
AP2A1	1.0000e+00
ARCN1	9.9997e-01
SPTAN1	1.0000e+00
RPTOR	1.0000e+00
CAND1	1.0000e+00
COPS2	9.9997e-01
SALL4	9.9997e-01
CACNA1C	1.0000e+00
ARID1B	1.0000e+00
PSMD2	1.0000e+00
PSMD3	9.9997e-01
KMT2D	1.0000e+00
UBAP2L	1.0000e+00
ZNF148	9.9997e-01
BTK	9.9996e-01
RRM1	1.0000e+00
PPP2R5E	9.9997e-01
RFX3	1.0000e+00
BIRC6	1.0000e+00
LMNB2	9.9996e-01
CLTC	1.0000e+00
