gene	oe_lof_upper	oe_lof_upper_bin
MED13	3.0000e-02	0
NIPBL	3.2000e-02	0
SMC3	3.7000e-02	0
CNOT1	3.8000e-02	0
RLF	4.0000e-02	0
PCF11	4.0000e-02	0
FNDC3B	4.2000e-02	0
TAF1	4.3000e-02	0
RSF1	4.4000e-02	0
NCKAP1	4.4000e-02	0
KDM2A	4.5000e-02	0
BRD4	4.8000e-02	0
HELZ	4.8000e-02	0
FBN1	4.9000e-02	0
XPO1	5.1000e-02	0
PRR12	5.1000e-02	0
USP9X	5.1000e-02	0
POLA1	5.1000e-02	0
SYNGAP1	5.2000e-02	0
PRKDC	5.2000e-02	0
HDAC4	5.2000e-02	0
SMG1	5.3000e-02	0
ZC3H4	5.4000e-02	0
COL5A1	5.5000e-02	0
SMARCA4	5.5000e-02	0
TNPO1	5.6000e-02	0
AGO1	5.7000e-02	0
ARHGAP35	5.7000e-02	0
LRP1	5.8000e-02	0
TOP1	5.9000e-02	0
TRIP12	6.0000e-02	0
KMT2E	6.0000e-02	0
HCFC1	6.0000e-02	0
UBTF	6.0000e-02	0
HUWE1	6.0000e-02	0
KDM3B	6.0000e-02	0
TRRAP	6.0000e-02	0
GRIN2B	6.1000e-02	0
USP7	6.1000e-02	0
ATP1A3	6.2000e-02	0
ASH1L	6.2000e-02	0
ANKRD17	6.2000e-02	0
SMC1A	6.2000e-02	0
NPEPPS	6.2000e-02	0
CHERP	6.2000e-02	0
MED13L	6.4000e-02	0
RPRD2	6.4000e-02	0
KMT2A	6.5000e-02	0
CREBBP	6.6000e-02	0
SF3B1	6.6000e-02	0
EIF3B	6.7000e-02	0
PPFIA1	6.7000e-02	0
ZSWIM6	6.7000e-02	0
PRPF3	6.8000e-02	0
KAT6A	6.9000e-02	0
KMT2B	7.0000e-02	0
SIN3A	7.0000e-02	0
CHD2	7.0000e-02	0
ARID1A	7.1000e-02	0
GLTSCR1L	7.1000e-02	0
SCN1A	7.1000e-02	0
MED12	7.1000e-02	0
TJP1	7.1000e-02	0
SPEN	7.1000e-02	0
WDFY3	7.1000e-02	0
HDAC6	7.2000e-02	0
EHMT1	7.2000e-02	0
JMJD1C	7.2000e-02	0
MAP3K12	7.2000e-02	0
GGNBP2	7.3000e-02	0
CASK	7.3000e-02	0
TLE3	7.3000e-02	0
CHD6	7.3000e-02	0
UBR5	7.3000e-02	0
EIF4G1	7.4000e-02	0
NBEA	7.4000e-02	0
SMARCA5	7.4000e-02	0
TSC2	7.4000e-02	0
SUPT5H	7.4000e-02	0
GREB1L	7.5000e-02	0
PTCH1	7.5000e-02	0
CHD7	7.6000e-02	0
RAD54L2	7.6000e-02	0
CNOT3	7.6000e-02	0
AHDC1	7.6000e-02	0
U2SURP	7.7000e-02	0
RBM25	7.7000e-02	0
GIGYF2	7.7000e-02	0
MBTD1	7.7000e-02	0
DCAF5	7.8000e-02	0
SUV420H1	7.8000e-02	0
RABGAP1	7.8000e-02	0
KHSRP	7.8000e-02	0
TM9SF2	7.9000e-02	0
MATR3	7.9000e-02	0
PHF21A	8.0000e-02	0
NAV1	8.0000e-02	0
HIVEP2	8.0000e-02	0
OGT	8.0000e-02	0
